Label,Assumption (short),Validated?,If violated VaR is...,Magnitude,Mitigation
C.10,Returns i.i.d. (no GARCH filtering),NOT validated,Underestimated during volatility clustering,"30--50% during crisis volatility spikes (GFC 2008, COVID 2020)",Known limitation per course methodology; no mitigation in copula model
A.4,Losses i.i.d. in 500-day rolling window,NOT validated,Underestimated during regime shifts,"20--50% during crises; EVT exceptions=56 (expected 42.7) suggests undercoverage",Rolling window partially mitigates by excluding stale data
D.5,Historical sample representative of future,NOT validated,Either direction depending on unseen tail events,Unknown -- sample 2006-2024 includes GFC and COVID but not hyperinflation / bank runs,No mitigation; fundamental limitation of any historical-based VaR
A.1,GPD convergence above threshold u,Diagnostic only (MEP + Hill plot),Underestimated for true fat-tail departures from GPD,"Up to 30% at 99.9% level per McNeil-Frey-Embrechts S7.3","Regulatory floor max(VaR, u, 0); xi clamped to [-0.5, 1.0]"
C.3,t-copula with fixed nu=4,NOT validated (diagnostic: CvM rejection 4/18=22%),Over- or underestimated depending on true tail dependence,"10--20% during joint tail events if true nu differs substantially from 4","CvM GoF test run; rejection rate 22.2%; no corrective action taken"
C.7,Nonlinear P&L independent of linear factors,NOT validated,Underestimated if IRS/straddle losses co-move with linear losses in crises,"5--15%; straddle gamma convexity creates positive co-movement with equity losses",Historical bootstrap preserves mean; full copula treatment out of scope
B.3,GARCH stationarity (alpha+beta < 1),Validated (alpha+beta ~0.97-0.997 across all refits),Not applicable if satisfied; VaR explosive if violated,Infinite-variance process if alpha+beta >= 1; VaR diverges,arch library enforces stationarity constraints in MLE; clamped implicitly
B.1,GARCH(1,1) sufficient -- no higher order,Diagnostic (residual ACF check in diagnostics plot),Either direction depending on mis-specification,"<10% if GARCH(1,1) vs GARCH(2,1); literature confirms GARCH(1,1) adequate for daily returns",No sensitivity test performed; GARCH+EVT Kupiec p=0.7936 suggests adequate fit
A.2,90th percentile is a valid GPD threshold,Diagnostic only (MEP shows linear region from ~85th pct),Underestimated if threshold too low (too many exceedances dilute tail); overestimated if too high,"5--15% depending on alternative threshold choice",Diagnostic plots generated; N_u ~50 per window is within recommended range
B.4,Standardised residuals Z_hat_t are approximately i.i.d.,Diagnostic only (QQ-plot in garch_evt_01_diagnostics.png),Underestimated if residual clustering remains,"~10--20% if fat-tail clustering persists; mitigated by EVT on residuals","EVT step explicitly targets residual tail; QQ-plot shows reasonable approximation"
C.5,CvM parametric bootstrap is valid GoF test,Partially validated (test is asymptotically valid under H0),May not detect specific departure types,"GoF rejection provides signal but test has low power against some alternatives; 4/18 refits rejected","Bootstrap uses 1000 iterations; vectorised implementation verified correct"
E.1,Kupiec binomial distribution under H0,Structural assumption of test -- validated by construction,Test invalid if T is too small or p_hat near 0/1,"T=4269 gives adequate power for 1% VaR; EVT p=0.0507 borderline",Standard regulatory test; no alternative implemented
E.2,Christoffersen independence of exceptions,Structural assumption -- validated by construction,Underestimated tail risk if exceptions cluster during crises,"Copula LR_IND p=0.0003 -- strong evidence of clustering; EVT LR_IND p=0.0064 also rejects",No conditional coverage correction; clustering is model limitation
B.8,EVT on residuals reduces volatility-clustering bias,Supported by theory (McNeil & Frey 2000) -- not independently validated,Underestimated without GARCH filter if clustering remains,"~15--30% overestimation of exceptions in naive EVT; GARCH+EVT achieves 41 vs 42.7 expected",Two-step approach is the primary mitigation
F.4,Cholesky of R is numerically stable,Validated (nearest-PD projection triggered when min eigval < 1e-8),Simulation fails or produces degenerate samples if R is not PD,Rare -- only triggered when correlation matrix near-singular; no documented occurrence,"_nearest_pd() Higham 1988 projection in var_copula.py:246-250; fallback in sample_t_copula"
B.5,GARCH refit every 50 days is sufficient,NOT validated -- no sensitivity test performed,Under- or overestimated if parameters shift substantially within 50-day windows,"<5% between refits based on observed parameter stability (alpha+beta stable across 86 refits)",Expanding window ensures each refit uses all available history
A.3,xi clamped to [-0.5 1.0] is plausible range,Supported by financial literature (Cont & Tankov 2004) -- not tested formally,Conservative (overestimates VaR) if true xi > 1; liberal if true xi < -0.5,"Rare in practice; mean xi=0.0475 (EVT) well within bounds",Warnings emitted when clamping triggered; diagnostic column stored
C.1,Marginals well-fit by candidate set,Validated by AIC comparison (t-distribution most common winner; mean AIC advantage 65.2 over normal),Underestimated tail if true marginal is heavier than all candidates,"5--10% at 99% level if true tail is heavier than Student-t","AIC selection from 6 candidates; KS test computed per marginal per refit"
C.2,Pseudo-observations are approximately uniform and independent,Diagnostic only (dependence plot in var_copula_dependence figures),Mis-estimated copula R if marginal mis-specification is severe,"<5% with correct marginals; larger if marginals systematically wrong",Hazen correction (rank/(n+1)) reduces boundary bias vs exact ranks
C.4,Sample correlation approximates MLE for d<=4,Supported by theory (near-optimal for d<=4) -- not empirically compared,Slightly biased R estimate if d is larger,"Negligible for d=4; literature confirms near-optimality",No alternative MLE implemented; standard copula practice
C.6,Log-return re-pricing formula is correct,Validated by comparison against R reference (VaR_Estimation.R S4d) -- commit A1 fix applied,Overstated tail losses using previous linear approximation,"Previous formula overstated by ~5--10% at extreme quantiles; fix reduced exceptions from 156 to 51",Exact exponential formula (V0/d * sum(exp(r)-1)) implemented
C.8,N_SIMS=20000 paths give MC SE <= 0.5% on 99% VaR,Supported by theory: MC SE ~ sigma/sqrt(N) -- not empirically verified at runtime,VaR estimate noisy if N too small; 3547 distinct daily VaR values confirms fresh daily draws,"At 20000 paths and 1% quantile, MC SE on exception rate ~0.15 pp (negligible)",Bootstrap CI computed per refit window; stored in var_bootstrap_ci.csv
C.9,Copula refit every 250 days is sufficient,NOT validated -- no sensitivity test performed,Under- or overestimated if correlation structure shifts within 250-day windows,"~10% if major regime change occurs mid-window (e.g., 2020 COVID correlation spike)",Rolling window (not expanding) limits staleness; 18 refits over 4269 days
D.1,Log-returns are the appropriate return definition,Supported by theory (continuous-compounding approximation -- Irle p.35) -- not empirically tested vs simple returns,Small bias relative to simple returns for large daily moves,"<0.5% for daily returns < 5%; larger during crisis days with moves >10%",Standard in academic and regulatory VaR; consistent across all modules
