Assumption tested,Assumption label,Sensitivity test,Key metric to compare,Expected effort,Most informative for
GARCH(1,1) sufficient,B.1,"Re-run garch_evt.py with GARCH(2,1) and GARCH(1,2); compare backtest exception counts and Kupiec p-values",Kupiec p-value; exception rate; AIC comparison,1--2 hours,Moderate -- GARCH(1,1) is empirically dominant for daily returns but worth verifying
GPD threshold q=90%,A.2,"Re-run evt.py and garch_evt.py with THRESHOLD_Q in {0.85, 0.925, 0.95}; plot xi time series and VaR for each",Mean xi; VaR level; exception count; GPD fit stability,30 minutes,High -- threshold choice directly controls bias-variance tradeoff in GPD estimation
Copula nu fixed at 4,C.3,"Re-run var_copula.py with NU_T_COPULA in {3, 6, 10, 30}; report VaR sensitivity and tail-dependence lambda_U = 2*t_{nu+1}(-sqrt((nu+1)*(1-rho)/(1+rho)))",Mean VaR; exception rate; Kupiec p-value; tail-dependence coefficient,1 hour,High -- fixed nu=4 is the strongest unjustified assumption in the copula model
MC path count sufficient,C.8,"Re-run monte_carlo_var with N_SIMS in {5000, 100000}; compare daily VaR distributions and exception counts",Standard error of VaR estimate; distinct VaR values; exception rate stability,30 minutes,Low -- N=20000 is theoretically adequate; verification is confirmatory
GARCH refit cadence,B.5,"Re-run fit_garch_expanding with REFIT_EVERY in {25, 100, 250}; compare parameter stability plots and backtest",Exception count; parameter time series (alpha+beta drift); Kupiec p-value,2--3 hours,Moderate -- 50-day cadence is a design choice; faster refit increases computation but may improve accuracy during regime changes
Copula refit cadence,C.9,"Re-run compute_copula_var with COPULA_REFIT in {125, 500}; compare GoF rejection rates and backtest",CvM rejection rate; VaR mean and std; exception count,1--2 hours,Moderate -- 250-day refit is untested; regime changes within window affect correlation estimates
Rolling vs expanding window,A.4 / C.10,"Re-run evt.py with WINDOW in {250, 750, 1000}; compare rolling vs expanding for tail stability",Exception rate by crisis period; xi stability; VaR responsiveness,1 hour,High for EVT -- larger window reduces sampling error but increases staleness
Equal vs optimised weights,D.2,"Re-run all VaR models with WEIGHTS from minimum-variance or risk-parity optimisation; compare VaR levels",Mean VaR; exception count; portfolio P&L std,2 hours,Low for model validation; high for portfolio management insight
Log vs simple returns,D.1,"Replace log-return P&L with arithmetic P&L (V0*w'*simple_returns); compare VaR and backtest results",Exception count; max VaR day; mean VaR level,1 hour,Low -- difference negligible for daily returns < 5% but visible on extreme crisis days
MC seed sensitivity,F.3,"Re-run var_copula.py with 5 different seeds {0, 1, 2, 100, 99999}; compare daily VaR series",VaR standard deviation across seeds; exception rate stability,2 hours (5 full runs),Low -- confirms MC SE is within acceptable bounds
Conditional %-scaling,F.5,"Re-run garch_evt.py with scale_factor forced to 1 on portfolio returns; verify optimizer fails gracefully or produces clearly wrong params (e.g. omega ~1e-6)",omega hat; VaR level; convergence warning count,15 min,Confirms std<0.1 branch is genuinely necessary
